n_epochs,intermediate_distortion,intermediate_l1,mean_optim_l1,min_optim_l1,std_optim_l1,mean_no_optim_l1,min_no_optim_l1,std_no_optim_l1,mean_optim_distortion,min_optim_distortion,std_optim_distortion,mean_no_optim_distortion,min_no_optim_distortion,std_no_optim_distortion,scale_delta,distance_reg,learning_rate
67,0.160094,0.000270,1.147005,1.020309,0.040319,1.146654,1.020309,0.040539,3.320524,3.000000,0.461213,3.320000,3.000000,0.466476,100.000000,0.001000,0.010000
36,0.025536,0.007115,1.146009,1.049108,0.040018,1.147139,1.048496,0.041056,3.337858,2.997107,0.459198,3.350000,3.000000,0.476970,0.001000,10.000000,0.001000
143,1.677821,0.316240,1.068339,1.029707,0.015697,1.140205,1.012489,0.042684,2.993332,2.719017,0.170863,3.280000,3.000000,0.448999,0.010000,0.100000,0.100000
71,0.004364,0.001435,1.149163,1.005910,0.037949,1.150404,1.006358,0.038151,3.256834,2.997330,0.435762,3.260000,3.000000,0.438634,0.010000,0.001000,0.000100
76,0.005913,0.002487,1.145049,0.997431,0.040125,1.146744,0.997184,0.040496,3.364376,2.996945,0.477976,3.370000,3.000000,0.482804,1.000000,1.000000,0.000100
37,0.002919,0.000904,1.140549,1.012423,0.037015,1.141131,1.012489,0.037131,3.308368,2.998734,0.460863,3.310000,3.000000,0.462493,1.000000,0.000100,0.000100
146,2.441379,0.404139,0.664578,0.634849,0.015503,1.160101,1.045141,0.038084,3.267242,3.015543,0.168274,3.310000,3.000000,0.462493,10.000000,0.010000,0.100000
61,0.039556,0.012214,1.125911,0.996727,0.043590,1.136073,0.997184,0.045704,3.237736,2.985760,0.412208,3.260000,3.000000,0.438634,0.001000,0.000100,0.001000
151,2.124871,0.354416,0.747545,0.716289,0.012664,1.141386,0.997184,0.047156,2.621489,2.349138,0.170114,3.320000,3.000000,0.466476,10.000000,0.100000,0.100000
47,0.003617,0.001273,1.143827,1.025482,0.038744,1.145002,1.026068,0.038922,3.326621,2.998021,0.467460,3.330000,3.000000,0.470213,0.010000,0.010000,0.000100
121,1.605309,0.326941,1.110578,1.060210,0.019986,1.142101,1.006358,0.047960,3.174331,2.871615,0.206818,3.310000,3.000000,0.462493,0.010000,0.100000,0.100000
